"MeshBlock","Count","AreaUnit","TerritorialAuthority","DHB"
504400,0,"Kohimarama East","Auckland","Auckland"
504500,0,"Kohimarama East","Auckland","Auckland"
504601,0,"Kohimarama East","Auckland","Auckland"
504701,0,"Kohimarama East","Auckland","Auckland"
504702,0,"Kohimarama East","Auckland","Auckland"
504900,2,"Kohimarama West","Auckland","Auckland"
505101,0,"Kohimarama West","Auckland","Auckland"
505102,0,"Kohimarama West","Auckland","Auckland"
505200,0,"Kohimarama West","Auckland","Auckland"
505301,0,"Kohimarama West","Auckland","Auckland"
505400,0,"Kohimarama West","Auckland","Auckland"
505500,0,"Kohimarama West","Auckland","Auckland"
505600,0,"Kohimarama West","Auckland","Auckland"
505700,0,"Kohimarama West","Auckland","Auckland"
505801,1,"Kohimarama West","Auckland","Auckland"
505803,0,"Kohimarama West","Auckland","Auckland"
505900,0,"Kohimarama West","Auckland","Auckland"
506000,0,"Kohimarama West","Auckland","Auckland"
506100,0,"Kohimarama West","Auckland","Auckland"
506200,0,"Kohimarama West","Auckland","Auckland"
506400,0,"Kohimarama West","Auckland","Auckland"
506500,0,"Kohimarama East","Auckland","Auckland"
506600,0,"Kohimarama West","Auckland","Auckland"
506800,0,"Kohimarama East","Auckland","Auckland"
506900,0,"Kohimarama East","Auckland","Auckland"
507000,0,"Kohimarama East","Auckland","Auckland"
507200,1,"Kohimarama East","Auckland","Auckland"
507301,0,"Kohimarama East","Auckland","Auckland"
507302,0,"Kohimarama East","Auckland","Auckland"
507400,1,"Kohimarama East","Auckland","Auckland"
507600,0,"Kohimarama East","Auckland","Auckland"
507701,0,"Kohimarama East","Auckland","Auckland"
507800,0,"Kohimarama East","Auckland","Auckland"
508000,0,"Kohimarama East","Auckland","Auckland"
508100,0,"Kohimarama East","Auckland","Auckland"
508200,0,"Kohimarama East","Auckland","Auckland"
508300,0,"Kohimarama East","Auckland","Auckland"
508400,0,"St Heliers","Auckland","Auckland"
508500,0,"St Heliers","Auckland","Auckland"
508600,0,"St Heliers","Auckland","Auckland"
508700,0,"St Heliers","Auckland","Auckland"
508800,0,"St Heliers","Auckland","Auckland"
508900,0,"St Heliers","Auckland","Auckland"
509000,0,"St Heliers","Auckland","Auckland"
509100,0,"St Heliers","Auckland","Auckland"
509200,0,"St Heliers","Auckland","Auckland"
509300,0,"St Heliers","Auckland","Auckland"
509400,0,"St Heliers","Auckland","Auckland"
509600,0,"St Heliers","Auckland","Auckland"
509700,0,"St Heliers","Auckland","Auckland"
509800,0,"St Heliers","Auckland","Auckland"
509900,0,"St Heliers","Auckland","Auckland"
510000,0,"St Heliers","Auckland","Auckland"
510100,0,"St Heliers","Auckland","Auckland"
510200,0,"St Heliers","Auckland","Auckland"
510300,0,"St Heliers","Auckland","Auckland"
510500,0,"St Heliers","Auckland","Auckland"
510600,0,"St Heliers","Auckland","Auckland"
510701,0,"St Heliers","Auckland","Auckland"
510801,0,"St Heliers","Auckland","Auckland"
510803,0,"St Heliers","Auckland","Auckland"
510901,0,"St Heliers","Auckland","Auckland"
510902,0,"St Heliers","Auckland","Auckland"
510905,0,"St Heliers","Auckland","Auckland"
511003,0,"St Heliers","Auckland","Auckland"
511004,0,"St Heliers","Auckland","Auckland"
511100,0,"St Heliers","Auckland","Auckland"
511200,0,"St Heliers","Auckland","Auckland"
511300,0,"St Heliers","Auckland","Auckland"
511400,0,"St Heliers","Auckland","Auckland"
511500,0,"St Heliers","Auckland","Auckland"
511600,0,"St Heliers","Auckland","Auckland"
511700,0,"St Heliers","Auckland","Auckland"
511800,0,"St Heliers","Auckland","Auckland"
511900,0,"St Heliers","Auckland","Auckland"
512000,0,"Glendowie","Auckland","Auckland"
512100,0,"Glendowie","Auckland","Auckland"
512200,0,"Glendowie","Auckland","Auckland"
512300,0,"Glendowie","Auckland","Auckland"
512500,0,"Glendowie","Auckland","Auckland"
512600,0,"Glendowie","Auckland","Auckland"
512700,0,"Glendowie","Auckland","Auckland"
512800,0,"Glendowie","Auckland","Auckland"
512900,0,"Glendowie","Auckland","Auckland"
513000,0,"Glendowie","Auckland","Auckland"
513100,0,"Glendowie","Auckland","Auckland"
513200,0,"Glendowie","Auckland","Auckland"
513400,0,"Glendowie","Auckland","Auckland"
513500,0,"Glendowie","Auckland","Auckland"
513600,0,"Glendowie","Auckland","Auckland"
513800,0,"Glendowie","Auckland","Auckland"
513900,0,"Glendowie","Auckland","Auckland"
514000,0,"Glendowie","Auckland","Auckland"
514100,0,"Glendowie","Auckland","Auckland"
514200,0,"Glendowie","Auckland","Auckland"
514301,0,"Glendowie","Auckland","Auckland"
514302,0,"Glendowie","Auckland","Auckland"
514400,1,"Glendowie","Auckland","Auckland"
514500,0,"Glendowie","Auckland","Auckland"
514600,0,"Glendowie","Auckland","Auckland"
514800,0,"Glendowie","Auckland","Auckland"
514900,0,"Glendowie","Auckland","Auckland"
515002,0,"Waiheke Island","Auckland","Auckland"
515003,0,"Waiheke Island","Auckland","Auckland"
515102,1,"Waiheke Island","Auckland","Auckland"
515103,0,"Waiheke Island","Auckland","Auckland"
515104,0,"Waiheke Island","Auckland","Auckland"
515105,0,"Waiheke Island","Auckland","Auckland"
515202,0,"Waiheke Island","Auckland","Auckland"
515203,0,"Waiheke Island","Auckland","Auckland"
515303,1,"Waiheke Island","Auckland","Auckland"
515304,0,"Waiheke Island","Auckland","Auckland"
515306,2,"Waiheke Island","Auckland","Auckland"
515310,0,"Waiheke Island","Auckland","Auckland"
515313,0,"Waiheke Island","Auckland","Auckland"
515315,0,"Waiheke Island","Auckland","Auckland"
515401,0,"Waiheke Island","Auckland","Auckland"
515402,1,"Waiheke Island","Auckland","Auckland"
515403,0,"Waiheke Island","Auckland","Auckland"
515501,0,"Waiheke Island","Auckland","Auckland"
515503,0,"Waiheke Island","Auckland","Auckland"
515604,0,"Waiheke Island","Auckland","Auckland"
515606,0,"Waiheke Island","Auckland","Auckland"
515607,0,"Waiheke Island","Auckland","Auckland"
515609,0,"Waiheke Island","Auckland","Auckland"
515704,0,"Waiheke Island","Auckland","Auckland"
515705,0,"Waiheke Island","Auckland","Auckland"
515712,0,"Waiheke Island","Auckland","Auckland"
515715,0,"Waiheke Island","Auckland","Auckland"
516013,0,"Waiheke Island","Auckland","Auckland"
516100,0,"Waiheke Island","Auckland","Auckland"
516201,0,"Waiheke Island","Auckland","Auckland"
516202,0,"Waiheke Island","Auckland","Auckland"
516503,0,"Waiheke Island","Auckland","Auckland"
516505,0,"Waiheke Island","Auckland","Auckland"
516510,0,"Waiheke Island","Auckland","Auckland"
516601,0,"Waiheke Island","Auckland","Auckland"
516603,0,"Waiheke Island","Auckland","Auckland"
516701,1,"Waiheke Island","Auckland","Auckland"
516702,0,"Waiheke Island","Auckland","Auckland"
516705,2,"Waiheke Island","Auckland","Auckland"
517700,0,"Owairaka East","Auckland","Auckland"
517800,0,"Owairaka East","Auckland","Auckland"
518000,0,"Owairaka East","Auckland","Auckland"
518100,0,"Owairaka East","Auckland","Auckland"
518200,0,"Owairaka East","Auckland","Auckland"
518300,0,"Owairaka East","Auckland","Auckland"
518400,1,"Owairaka West","Auckland","Auckland"
518500,0,"Owairaka West","Auckland","Auckland"
518600,1,"Owairaka West","Auckland","Auckland"
518700,1,"Owairaka West","Auckland","Auckland"
518900,0,"Owairaka West","Auckland","Auckland"
519000,0,"Owairaka West","Auckland","Auckland"
519100,0,"Owairaka West","Auckland","Auckland"
519200,0,"Owairaka West","Auckland","Auckland"
519300,1,"Owairaka West","Auckland","Auckland"
519400,0,"Owairaka West","Auckland","Auckland"
519500,0,"Owairaka West","Auckland","Auckland"
519701,0,"Owairaka West","Auckland","Auckland"
519702,0,"Owairaka West","Auckland","Auckland"
519800,0,"Owairaka West","Auckland","Auckland"
520000,1,"Owairaka East","Auckland","Auckland"
520101,1,"Owairaka East","Auckland","Auckland"
520102,0,"Owairaka East","Auckland","Auckland"
520200,0,"Owairaka East","Auckland","Auckland"
520300,1,"Owairaka East","Auckland","Auckland"
520400,0,"Owairaka East","Auckland","Auckland"
520500,0,"Owairaka East","Auckland","Auckland"
520600,2,"Owairaka East","Auckland","Auckland"
520700,0,"Owairaka West","Auckland","Auckland"
520800,0,"Owairaka West","Auckland","Auckland"
520900,1,"Owairaka West","Auckland","Auckland"
521001,0,"Owairaka West","Auckland","Auckland"
521100,0,"Owairaka West","Auckland","Auckland"
521200,0,"Owairaka East","Auckland","Auckland"
521300,0,"Owairaka East","Auckland","Auckland"
521500,0,"Owairaka East","Auckland","Auckland"
521600,0,"Owairaka East","Auckland","Auckland"
521700,0,"Owairaka East","Auckland","Auckland"
521800,0,"Owairaka East","Auckland","Auckland"
521900,0,"Owairaka East","Auckland","Auckland"
522000,0,"Owairaka East","Auckland","Auckland"
522100,0,"Owairaka East","Auckland","Auckland"
522200,1,"Owairaka East","Auckland","Auckland"
522401,0,"Owairaka East","Auckland","Auckland"
522402,0,"Owairaka East","Auckland","Auckland"
522600,0,"Owairaka East","Auckland","Auckland"
522701,0,"Owairaka East","Auckland","Auckland"
522800,0,"Owairaka East","Auckland","Auckland"
522900,0,"Springleigh","Auckland","Auckland"
523000,1,"Springleigh","Auckland","Auckland"
523100,0,"Springleigh","Auckland","Auckland"
523200,0,"Springleigh","Auckland","Auckland"
523300,0,"Springleigh","Auckland","Auckland"
523400,0,"Springleigh","Auckland","Auckland"
523500,0,"Springleigh","Auckland","Auckland"
523600,0,"Springleigh","Auckland","Auckland"
523700,1,"Springleigh","Auckland","Auckland"
523800,2,"Springleigh","Auckland","Auckland"
523900,1,"Springleigh","Auckland","Auckland"
524100,1,"Springleigh","Auckland","Auckland"
524200,1,"Springleigh","Auckland","Auckland"
524300,0,"Springleigh","Auckland","Auckland"
524400,0,"Springleigh","Auckland","Auckland"
524500,0,"Springleigh","Auckland","Auckland"
524600,1,"Springleigh","Auckland","Auckland"
524700,1,"Springleigh","Auckland","Auckland"
524800,0,"Springleigh","Auckland","Auckland"
524900,0,"Mt Albert Central","Auckland","Auckland"
525000,0,"Mt Albert Central","Auckland","Auckland"
525200,2,"Mt Albert Central","Auckland","Auckland"
525300,0,"Mt Albert Central","Auckland","Auckland"
525400,0,"Mt Albert Central","Auckland","Auckland"
525500,2,"Mt Albert Central","Auckland","Auckland"
525600,2,"Mt Albert Central","Auckland","Auckland"
525700,0,"Mt Albert Central","Auckland","Auckland"
525800,1,"Mt Albert Central","Auckland","Auckland"
525900,0,"Mt Albert Central","Auckland","Auckland"
526000,0,"Mt Albert Central","Auckland","Auckland"
526100,0,"Mt Albert Central","Auckland","Auckland"
526200,0,"Mt Albert Central","Auckland","Auckland"
526300,0,"Mt Albert Central","Auckland","Auckland"
526400,1,"Mt Albert Central","Auckland","Auckland"
526500,0,"Mt Albert Central","Auckland","Auckland"
526600,0,"Mt Albert Central","Auckland","Auckland"
526700,0,"Mt Albert Central","Auckland","Auckland"
526802,0,"Mt Albert Central","Auckland","Auckland"
526900,0,"Mt Albert Central","Auckland","Auckland"
527000,0,"Mt Albert Central","Auckland","Auckland"
527100,0,"Mt Albert Central","Auckland","Auckland"
527200,0,"Mt Albert Central","Auckland","Auckland"
527300,0,"Mt Albert Central","Auckland","Auckland"
527400,0,"Mt Albert Central","Auckland","Auckland"
527500,0,"Mt Albert Central","Auckland","Auckland"
527600,0,"Mt Albert Central","Auckland","Auckland"
527700,1,"Mt Albert Central","Auckland","Auckland"
527800,1,"Mt Albert Central","Auckland","Auckland"
527900,0,"Mt Albert Central","Auckland","Auckland"
528000,0,"Mt Albert Central","Auckland","Auckland"
528100,1,"Mt Albert Central","Auckland","Auckland"
528201,0,"Mt Albert Central","Auckland","Auckland"
528202,0,"Mt Albert Central","Auckland","Auckland"
528300,0,"Mt Albert Central","Auckland","Auckland"
528400,0,"Mt Albert Central","Auckland","Auckland"
528500,1,"Mt Albert Central","Auckland","Auckland"
528601,0,"Mt Albert Central","Auckland","Auckland"
528700,0,"Mt Albert Central","Auckland","Auckland"
528800,0,"Mt Albert Central","Auckland","Auckland"
529000,0,"Kingsland","Auckland","Auckland"
529200,0,"Kingsland","Auckland","Auckland"
529300,1,"Kingsland","Auckland","Auckland"
529400,1,"Kingsland","Auckland","Auckland"
529500,0,"Kingsland","Auckland","Auckland"
529700,0,"Kingsland","Auckland","Auckland"
529800,0,"Kingsland","Auckland","Auckland"
529900,0,"Kingsland","Auckland","Auckland"
530000,0,"Kingsland","Auckland","Auckland"
530100,3,"Kingsland","Auckland","Auckland"
530200,2,"Kingsland","Auckland","Auckland"
530300,2,"Kingsland","Auckland","Auckland"
530400,0,"Kingsland","Auckland","Auckland"
530500,0,"Kingsland","Auckland","Auckland"
530600,0,"Kingsland","Auckland","Auckland"
530700,0,"Kingsland","Auckland","Auckland"
530800,1,"Kingsland","Auckland","Auckland"
530900,0,"Kingsland","Auckland","Auckland"
531000,0,"Kingsland","Auckland","Auckland"
531100,0,"Kingsland","Auckland","Auckland"
531200,0,"Kingsland","Auckland","Auckland"
531400,0,"Kingsland","Auckland","Auckland"
531500,2,"Kingsland","Auckland","Auckland"
531600,0,"Kingsland","Auckland","Auckland"
531700,0,"Kingsland","Auckland","Auckland"
531800,1,"Kingsland","Auckland","Auckland"
531900,0,"Kingsland","Auckland","Auckland"
532000,0,"Kingsland","Auckland","Auckland"
532101,0,"Kingsland","Auckland","Auckland"
532102,0,"Kingsland","Auckland","Auckland"
532103,0,"Kingsland","Auckland","Auckland"
532200,0,"Kingsland","Auckland","Auckland"
532501,3,"Kingsland","Auckland","Auckland"
532502,0,"Kingsland","Auckland","Auckland"
532503,0,"Kingsland","Auckland","Auckland"
532600,0,"Kingsland","Auckland","Auckland"
532700,0,"Kingsland","Auckland","Auckland"
532900,1,"Kingsland","Auckland","Auckland"
533000,1,"St Lukes","Auckland","Auckland"
533100,0,"St Lukes","Auckland","Auckland"
533200,0,"St Lukes","Auckland","Auckland"
533300,0,"St Lukes","Auckland","Auckland"
533400,0,"St Lukes","Auckland","Auckland"
533502,0,"St Lukes","Auckland","Auckland"
533503,0,"St Lukes","Auckland","Auckland"
533504,0,"St Lukes","Auckland","Auckland"
533506,0,"St Lukes","Auckland","Auckland"
533601,0,"St Lukes","Auckland","Auckland"
533602,0,"St Lukes","Auckland","Auckland"
533700,1,"St Lukes","Auckland","Auckland"
533800,0,"St Lukes","Auckland","Auckland"
533900,1,"St Lukes","Auckland","Auckland"
534001,0,"St Lukes","Auckland","Auckland"
534002,0,"St Lukes","Auckland","Auckland"
534100,0,"St Lukes","Auckland","Auckland"
534200,0,"St Lukes","Auckland","Auckland"
534300,1,"St Lukes","Auckland","Auckland"
534400,0,"St Lukes","Auckland","Auckland"
534500,0,"St Lukes","Auckland","Auckland"
534602,0,"St Lukes","Auckland","Auckland"
534603,0,"St Lukes","Auckland","Auckland"
534604,1,"St Lukes","Auckland","Auckland"
534700,1,"St Lukes","Auckland","Auckland"
534800,1,"St Lukes","Auckland","Auckland"
534900,0,"St Lukes","Auckland","Auckland"
535000,0,"St Lukes","Auckland","Auckland"
535100,1,"St Lukes","Auckland","Auckland"
535201,0,"St Lukes","Auckland","Auckland"
535202,0,"St Lukes","Auckland","Auckland"
535203,0,"St Lukes","Auckland","Auckland"
535204,0,"St Lukes","Auckland","Auckland"
535205,0,"St Lukes","Auckland","Auckland"
535206,1,"St Lukes","Auckland","Auckland"
535207,0,"St Lukes","Auckland","Auckland"
535300,0,"St Lukes","Auckland","Auckland"
535400,1,"St Lukes","Auckland","Auckland"
535600,0,"Sandringham North","Auckland","Auckland"
535700,0,"Sandringham North","Auckland","Auckland"
535800,0,"Sandringham North","Auckland","Auckland"
535900,0,"Sandringham North","Auckland","Auckland"
536000,0,"Sandringham North","Auckland","Auckland"
536100,0,"Sandringham North","Auckland","Auckland"
536200,0,"Sandringham North","Auckland","Auckland"
536300,1,"Sandringham North","Auckland","Auckland"
536400,1,"Sandringham North","Auckland","Auckland"
536500,0,"Sandringham North","Auckland","Auckland"
536601,0,"Sandringham North","Auckland","Auckland"
536800,0,"Sandringham North","Auckland","Auckland"
536900,1,"Sandringham North","Auckland","Auckland"
537000,1,"Sandringham North","Auckland","Auckland"
537100,2,"Sandringham North","Auckland","Auckland"
537200,1,"Sandringham North","Auckland","Auckland"
537300,0,"Sandringham North","Auckland","Auckland"
537400,1,"Sandringham North","Auckland","Auckland"
537500,0,"Sandringham North","Auckland","Auckland"
537601,0,"Sandringham East","Auckland","Auckland"
537602,0,"Sandringham East","Auckland","Auckland"
537604,0,"Sandringham East","Auckland","Auckland"
537605,0,"Sandringham East","Auckland","Auckland"
537702,0,"Sandringham East","Auckland","Auckland"
537703,0,"Sandringham East","Auckland","Auckland"
537704,0,"Sandringham East","Auckland","Auckland"
537800,0,"Sandringham East","Auckland","Auckland"
537900,0,"Sandringham East","Auckland","Auckland"
538002,0,"Sandringham East","Auckland","Auckland"
538003,0,"Sandringham East","Auckland","Auckland"
538004,0,"Sandringham East","Auckland","Auckland"
538005,1,"Sandringham East","Auckland","Auckland"
538100,0,"Sandringham East","Auckland","Auckland"
538200,0,"Sandringham East","Auckland","Auckland"
538300,0,"Sandringham East","Auckland","Auckland"
538400,0,"Sandringham East","Auckland","Auckland"
538500,3,"Sandringham East","Auckland","Auckland"
538600,5,"Sandringham East","Auckland","Auckland"
538700,0,"Sandringham East","Auckland","Auckland"
538802,0,"Sandringham East","Auckland","Auckland"
538900,0,"Sandringham East","Auckland","Auckland"
539000,0,"Sandringham East","Auckland","Auckland"
539100,0,"Sandringham East","Auckland","Auckland"
539200,0,"Sandringham East","Auckland","Auckland"
539300,0,"Sandringham East","Auckland","Auckland"
539400,0,"Sandringham East","Auckland","Auckland"
539500,0,"Sandringham East","Auckland","Auckland"
539600,0,"Sandringham East","Auckland","Auckland"
539700,0,"Sandringham East","Auckland","Auckland"
539800,0,"Sandringham East","Auckland","Auckland"
539901,0,"Sandringham East","Auckland","Auckland"
539902,0,"Sandringham East","Auckland","Auckland"
540001,1,"Sandringham West","Auckland","Auckland"
540002,0,"Sandringham West","Auckland","Auckland"
540100,0,"Sandringham West","Auckland","Auckland"
540201,0,"Sandringham West","Auckland","Auckland"
540202,0,"Sandringham West","Auckland","Auckland"
540300,1,"Sandringham West","Auckland","Auckland"
540400,0,"Sandringham West","Auckland","Auckland"
540500,1,"Sandringham West","Auckland","Auckland"
540600,2,"Sandringham West","Auckland","Auckland"
540800,0,"Sandringham West","Auckland","Auckland"
540900,2,"Sandringham West","Auckland","Auckland"
541000,0,"Sandringham West","Auckland","Auckland"
541100,0,"Sandringham West","Auckland","Auckland"
541200,0,"Sandringham West","Auckland","Auckland"
541300,0,"Sandringham West","Auckland","Auckland"
541400,0,"Sandringham West","Auckland","Auckland"
541500,0,"Sandringham West","Auckland","Auckland"
541600,0,"Sandringham West","Auckland","Auckland"
541702,0,"Sandringham West","Auckland","Auckland"
541800,0,"Sandringham West","Auckland","Auckland"
542000,0,"Sandringham West","Auckland","Auckland"
542100,0,"Sandringham West","Auckland","Auckland"
542200,0,"Sandringham West","Auckland","Auckland"
542300,0,"Sandringham West","Auckland","Auckland"
542400,1,"Sandringham West","Auckland","Auckland"
542501,2,"Mt Eden North","Auckland","Auckland"
542502,2,"Mt Eden North","Auckland","Auckland"
542600,1,"Mt Eden North","Auckland","Auckland"
542800,0,"Mt Eden North","Auckland","Auckland"
542900,3,"Mt Eden North","Auckland","Auckland"
543100,1,"Mt Eden North","Auckland","Auckland"
543200,1,"Mt Eden North","Auckland","Auckland"
543300,0,"Sherbourne","Auckland","Auckland"
543400,0,"Sherbourne","Auckland","Auckland"
543500,0,"Mt Eden North","Auckland","Auckland"
543600,0,"Mt Eden North","Auckland","Auckland"
543700,0,"Mt Eden North","Auckland","Auckland"
543800,0,"Mt Eden North","Auckland","Auckland"
543900,0,"Mt Eden North","Auckland","Auckland"
544000,0,"Mt Eden North","Auckland","Auckland"
544100,0,"Mt Eden North","Auckland","Auckland"
544600,0,"Mt Eden North","Auckland","Auckland"
544700,1,"Mt Eden North","Auckland","Auckland"
544800,0,"Mt Eden North","Auckland","Auckland"
544900,1,"Mt Eden North","Auckland","Auckland"
545000,0,"Mt Eden North","Auckland","Auckland"
545100,0,"Sherbourne","Auckland","Auckland"
545200,0,"Sherbourne","Auckland","Auckland"
545300,0,"Sherbourne","Auckland","Auckland"
545400,0,"Sherbourne","Auckland","Auckland"
545500,0,"Sherbourne","Auckland","Auckland"
545600,0,"Sherbourne","Auckland","Auckland"
545700,0,"Sherbourne","Auckland","Auckland"
545800,0,"Sherbourne","Auckland","Auckland"
545900,0,"Sherbourne","Auckland","Auckland"
546000,1,"Sherbourne","Auckland","Auckland"
546100,0,"Sherbourne","Auckland","Auckland"
546300,0,"Sherbourne","Auckland","Auckland"
546400,0,"Sherbourne","Auckland","Auckland"
546500,0,"Sherbourne","Auckland","Auckland"
546700,2,"Sherbourne","Auckland","Auckland"
546800,0,"Sherbourne","Auckland","Auckland"
546900,0,"Sherbourne","Auckland","Auckland"
547001,0,"Sherbourne","Auckland","Auckland"
547200,0,"Sherbourne","Auckland","Auckland"
547300,0,"Balmoral","Auckland","Auckland"
547401,0,"Balmoral","Auckland","Auckland"
547501,0,"Balmoral","Auckland","Auckland"
547600,0,"Balmoral","Auckland","Auckland"
547800,0,"Balmoral","Auckland","Auckland"
547900,1,"Balmoral","Auckland","Auckland"
548000,1,"Balmoral","Auckland","Auckland"
548102,0,"Balmoral","Auckland","Auckland"
548104,0,"Balmoral","Auckland","Auckland"
548200,0,"Balmoral","Auckland","Auckland"
548300,0,"Balmoral","Auckland","Auckland"
548400,0,"Balmoral","Auckland","Auckland"
548500,0,"Balmoral","Auckland","Auckland"
548600,0,"Balmoral","Auckland","Auckland"
548701,0,"Balmoral","Auckland","Auckland"
548702,0,"Balmoral","Auckland","Auckland"
548800,0,"Balmoral","Auckland","Auckland"
548901,2,"Balmoral","Auckland","Auckland"
549000,0,"Balmoral","Auckland","Auckland"
549100,0,"Balmoral","Auckland","Auckland"
549200,0,"Balmoral","Auckland","Auckland"
549300,0,"Balmoral","Auckland","Auckland"
549502,0,"Balmoral","Auckland","Auckland"
549600,0,"Balmoral","Auckland","Auckland"
549700,0,"Balmoral","Auckland","Auckland"
550000,1,"Mt Eden East","Auckland","Auckland"
550100,0,"Mt Eden East","Auckland","Auckland"
550200,0,"Mt Eden East","Auckland","Auckland"
550300,0,"Mt Eden East","Auckland","Auckland"
550400,2,"Mt Eden East","Auckland","Auckland"
550500,0,"Mt Eden East","Auckland","Auckland"
550600,1,"Mt Eden East","Auckland","Auckland"
550700,1,"Mt Eden East","Auckland","Auckland"
550800,0,"Mt Eden East","Auckland","Auckland"
550900,0,"Mt Eden East","Auckland","Auckland"
551000,3,"Mt Eden East","Auckland","Auckland"
551100,0,"Mt Eden East","Auckland","Auckland"
551200,0,"Mt Eden East","Auckland","Auckland"
551300,0,"Mt Eden East","Auckland","Auckland"
551401,0,"Mt Eden East","Auckland","Auckland"
551402,1,"Mt Eden East","Auckland","Auckland"
551500,0,"Mt Eden East","Auckland","Auckland"
551600,0,"Mt Eden East","Auckland","Auckland"
551700,0,"Mt Eden East","Auckland","Auckland"
551800,0,"Balmoral","Auckland","Auckland"
551900,0,"Balmoral","Auckland","Auckland"
552000,0,"Balmoral","Auckland","Auckland"
552100,0,"Balmoral","Auckland","Auckland"
552200,0,"Balmoral","Auckland","Auckland"
552300,0,"Balmoral","Auckland","Auckland"
552400,2,"Balmoral","Auckland","Auckland"
552500,0,"Balmoral","Auckland","Auckland"
552600,0,"Balmoral","Auckland","Auckland"
552700,1,"Balmoral","Auckland","Auckland"
552800,0,"Balmoral","Auckland","Auckland"
552900,0,"Balmoral","Auckland","Auckland"
553000,0,"Balmoral","Auckland","Auckland"
553100,0,"Balmoral","Auckland","Auckland"
553200,2,"Balmoral","Auckland","Auckland"
553300,0,"Balmoral","Auckland","Auckland"
553400,1,"Balmoral","Auckland","Auckland"
553500,0,"Maungawhau","Auckland","Auckland"
553600,0,"Maungawhau","Auckland","Auckland"
553700,0,"Maungawhau","Auckland","Auckland"
553800,1,"Maungawhau","Auckland","Auckland"
553900,0,"Maungawhau","Auckland","Auckland"
554000,0,"Maungawhau","Auckland","Auckland"
554100,0,"Maungawhau","Auckland","Auckland"
554201,0,"Maungawhau","Auckland","Auckland"
554202,0,"Maungawhau","Auckland","Auckland"
554300,0,"Mt Eden South","Auckland","Auckland"
554400,0,"Mt Eden South","Auckland","Auckland"
554500,0,"Mt Eden South","Auckland","Auckland"
554600,0,"Mt Eden South","Auckland","Auckland"
554700,0,"Mt Eden South","Auckland","Auckland"
554800,0,"Mt Eden South","Auckland","Auckland"
554900,0,"Mt Eden South","Auckland","Auckland"
555000,0,"Mt Eden South","Auckland","Auckland"
555100,2,"Maungawhau","Auckland","Auckland"
555200,0,"Maungawhau","Auckland","Auckland"
555300,0,"Maungawhau","Auckland","Auckland"
555400,0,"Maungawhau","Auckland","Auckland"
555700,0,"Maungawhau","Auckland","Auckland"
555800,0,"Maungawhau","Auckland","Auckland"
556000,0,"Maungawhau","Auckland","Auckland"
556100,0,"Maungawhau","Auckland","Auckland"
556200,0,"Maungawhau","Auckland","Auckland"
556300,2,"Maungawhau","Auckland","Auckland"
556400,0,"Maungawhau","Auckland","Auckland"
556500,0,"Maungawhau","Auckland","Auckland"
556800,0,"Maungawhau","Auckland","Auckland"
556900,0,"Maungawhau","Auckland","Auckland"
557000,0,"Maungawhau","Auckland","Auckland"
557100,2,"Maungawhau","Auckland","Auckland"
557200,0,"Maungawhau","Auckland","Auckland"
557401,0,"Mt Eden South","Auckland","Auckland"
557500,1,"Mt Eden South","Auckland","Auckland"
557600,0,"Mt Eden South","Auckland","Auckland"
557700,0,"Maungawhau","Auckland","Auckland"
557800,0,"Maungawhau","Auckland","Auckland"
557900,0,"Mt Eden South","Auckland","Auckland"
558000,0,"Mt Eden South","Auckland","Auckland"
558100,0,"Mt Eden South","Auckland","Auckland"
558200,0,"Mt Eden South","Auckland","Auckland"
558300,3,"Mt Eden South","Auckland","Auckland"
558401,0,"Mt Eden South","Auckland","Auckland"
558402,2,"Mt Eden South","Auckland","Auckland"
558500,1,"Mt Eden South","Auckland","Auckland"
558600,0,"Mt Eden South","Auckland","Auckland"
558701,0,"Mt Eden South","Auckland","Auckland"
558800,0,"Mt Eden South","Auckland","Auckland"
558900,0,"Mt Eden South","Auckland","Auckland"
559001,0,"Mt Eden South","Auckland","Auckland"
559002,0,"Mt Eden South","Auckland","Auckland"
559100,0,"Mt Eden South","Auckland","Auckland"
559200,0,"Mt Eden South","Auckland","Auckland"
559302,0,"Mt Eden South","Auckland","Auckland"
559401,0,"Mt Eden South","Auckland","Auckland"
559402,0,"Mt Eden South","Auckland","Auckland"
559403,0,"Mt Eden South","Auckland","Auckland"
559404,0,"Mt Eden South","Auckland","Auckland"
559500,0,"Mt Eden South","Auckland","Auckland"
559600,0,"Mt Eden South","Auckland","Auckland"
559701,0,"Mt Eden South","Auckland","Auckland"
559702,0,"Mt Eden South","Auckland","Auckland"
559703,0,"Mt Eden South","Auckland","Auckland"
559704,0,"Mt Eden South","Auckland","Auckland"
559800,0,"Three Kings","Auckland","Auckland"
559900,0,"Three Kings","Auckland","Auckland"
560000,0,"Three Kings","Auckland","Auckland"
560100,5,"Three Kings","Auckland","Auckland"
560200,0,"Three Kings","Auckland","Auckland"
560300,0,"Three Kings","Auckland","Auckland"
560400,0,"Three Kings","Auckland","Auckland"
560500,0,"Three Kings","Auckland","Auckland"
560600,0,"Three Kings","Auckland","Auckland"
560700,0,"Three Kings","Auckland","Auckland"
560800,0,"Three Kings","Auckland","Auckland"
560900,0,"Three Kings","Auckland","Auckland"
561000,2,"Three Kings","Auckland","Auckland"
