"MeshBlock","Count","AreaUnit","TerritorialAuthority","DHB"
10012,0,"Ahipara","Far North District","Northland"
10101,0,"Ahipara","Far North District","Northland"
10102,1,"Ahipara","Far North District","Northland"
10200,0,"Ahipara","Far North District","Northland"
10300,0,"Herekino","Far North District","Northland"
10400,0,"Herekino","Far North District","Northland"
10500,0,"Herekino","Far North District","Northland"
10600,0,"Ahipara","Far North District","Northland"
10700,0,"Ahipara","Far North District","Northland"
10800,0,"Ahipara","Far North District","Northland"
10900,0,"Herekino","Far North District","Northland"
11000,0,"Herekino","Far North District","Northland"
11300,1,"Herekino","Far North District","Northland"
11400,0,"Herekino","Far North District","Northland"
11900,0,"Herekino","Far North District","Northland"
12103,0,"Herekino","Far North District","Northland"
12300,0,"Motutangi-Kareponia","Far North District","Northland"
12400,0,"Motutangi-Kareponia","Far North District","Northland"
12500,0,"Motutangi-Kareponia","Far North District","Northland"
12601,0,"Motutangi-Kareponia","Far North District","Northland"
12602,0,"Awanui","Far North District","Northland"
12702,0,"Awanui","Far North District","Northland"
12902,0,"Kaitaia West","Far North District","Northland"
12903,0,"Kaitaia West","Far North District","Northland"
12904,0,"Kaitaia West","Far North District","Northland"
13000,0,"Kaitaia West","Far North District","Northland"
13100,2,"Kaitaia West","Far North District","Northland"
13203,1,"Kaitaia East","Far North District","Northland"
13205,0,"Kaitaia East","Far North District","Northland"
13206,0,"Kaitaia East","Far North District","Northland"
13207,0,"Kaitaia East","Far North District","Northland"
13300,0,"Kaitaia East","Far North District","Northland"
13400,0,"Kaitaia East","Far North District","Northland"
13500,0,"Kaitaia West","Far North District","Northland"
13600,1,"Kaitaia East","Far North District","Northland"
13700,0,"Kaitaia East","Far North District","Northland"
13800,0,"Kaitaia East","Far North District","Northland"
13900,0,"Kaitaia East","Far North District","Northland"
14000,0,"Kaitaia East","Far North District","Northland"
14100,0,"Kaitaia East","Far North District","Northland"
14200,0,"Kaitaia East","Far North District","Northland"
14300,0,"Kaitaia East","Far North District","Northland"
14400,1,"Kaitaia East","Far North District","Northland"
14500,0,"Kaitaia East","Far North District","Northland"
14600,0,"Kaitaia West","Far North District","Northland"
14700,0,"Kaitaia West","Far North District","Northland"
14800,0,"Kaitaia West","Far North District","Northland"
14900,0,"Kaitaia West","Far North District","Northland"
15000,0,"Kaitaia West","Far North District","Northland"
15100,0,"Kaitaia West","Far North District","Northland"
15200,0,"Kaitaia West","Far North District","Northland"
15300,1,"Kaitaia West","Far North District","Northland"
15401,0,"Kaitaia West","Far North District","Northland"
15402,0,"Kaitaia West","Far North District","Northland"
15500,1,"Kaitaia West","Far North District","Northland"
15600,0,"Kaitaia West","Far North District","Northland"
15700,1,"Kaitaia West","Far North District","Northland"
15800,0,"Kaitaia West","Far North District","Northland"
15900,1,"Kaitaia West","Far North District","Northland"
16000,1,"Kaitaia West","Far North District","Northland"
16100,0,"Kaitaia West","Far North District","Northland"
16200,0,"Kaitaia West","Far North District","Northland"
16300,0,"Kaitaia West","Far North District","Northland"
16400,1,"Kaitaia West","Far North District","Northland"
16500,0,"Kaitaia West","Far North District","Northland"
16600,0,"Kaitaia West","Far North District","Northland"
16700,1,"Kaitaia West","Far North District","Northland"
16800,0,"Kaitaia West","Far North District","Northland"
17100,0,"Inlet-Doubtless Bay","Area Outside Territorial Authority","Area outside District Health Board"
17302,0,"Mangapa-Matauri Bay","Far North District","Northland"
17402,1,"Mangapa-Matauri Bay","Far North District","Northland"
17407,0,"Mangapa-Matauri Bay","Far North District","Northland"
17409,0,"Mangapa-Matauri Bay","Far North District","Northland"
17500,0,"Mangapa-Matauri Bay","Far North District","Northland"
17600,0,"Mangapa-Matauri Bay","Far North District","Northland"
17700,0,"Mangapa-Matauri Bay","Far North District","Northland"
17800,0,"Mangapa-Matauri Bay","Far North District","Northland"
18100,0,"Mangapa-Matauri Bay","Far North District","Northland"
18201,0,"Mangapa-Matauri Bay","Far North District","Northland"
18300,0,"Mangapa-Matauri Bay","Far North District","Northland"
18400,0,"Mangapa-Matauri Bay","Far North District","Northland"
18600,0,"Mangapa-Matauri Bay","Far North District","Northland"
18800,0,"Kaeo","Far North District","Northland"
18900,0,"Kaeo","Far North District","Northland"
19100,0,"Kaeo","Far North District","Northland"
19400,0,"Mangapa-Matauri Bay","Far North District","Northland"
19600,0,"Mangapa-Matauri Bay","Far North District","Northland"
19700,0,"Mangapa-Matauri Bay","Far North District","Northland"
19801,0,"Mangapa-Matauri Bay","Far North District","Northland"
19900,0,"Mangapa-Matauri Bay","Far North District","Northland"
20000,0,"Mangapa-Matauri Bay","Far North District","Northland"
20200,0,"Mangapa-Matauri Bay","Far North District","Northland"
20401,0,"Mangapa-Matauri Bay","Far North District","Northland"
20402,0,"Mangapa-Matauri Bay","Far North District","Northland"
20500,0,"Inlet-Whangaroa Harbour","Far North District","Northland"
21000,0,"Hokianga North","Far North District","Northland"
21300,0,"Hokianga North","Far North District","Northland"
21400,0,"Hokianga North","Far North District","Northland"
22000,0,"Hokianga South","Far North District","Northland"
22100,0,"Hokianga South","Far North District","Northland"
22300,1,"Hokianga South","Far North District","Northland"
22500,1,"Hokianga South","Far North District","Northland"
22800,0,"Hokianga South","Far North District","Northland"
23100,0,"Hokianga South","Far North District","Northland"
23200,0,"Hokianga South","Far North District","Northland"
23300,0,"Hokianga South","Far North District","Northland"
23600,0,"Rawene","Far North District","Northland"
23700,0,"Rawene","Far North District","Northland"
23800,1,"Rawene","Far North District","Northland"
23900,0,"Rawene","Far North District","Northland"
24000,0,"Rawene","Far North District","Northland"
24100,1,"Rawene","Far North District","Northland"
24300,0,"Hokianga South","Far North District","Northland"
25200,0,"Hokianga South","Far North District","Northland"
25300,0,"Hokianga South","Far North District","Northland"
25800,1,"Omapere and Opononi","Far North District","Northland"
25900,4,"Omapere and Opononi","Far North District","Northland"
26002,1,"Omapere and Opononi","Far North District","Northland"
26202,0,"Omapere and Opononi","Far North District","Northland"
26302,0,"Hokianga South","Far North District","Northland"
26304,0,"Hokianga South","Far North District","Northland"
26600,0,"Hokianga South","Far North District","Northland"
26700,0,"Hokianga South","Far North District","Northland"
26800,0,"Hokianga South","Far North District","Northland"
27000,0,"Hokianga South","Far North District","Northland"
27100,0,"Hokianga South","Far North District","Northland"
27400,0,"Hokianga South","Far North District","Northland"
27500,1,"Hokianga South","Far North District","Northland"
27800,0,"Hokianga North","Far North District","Northland"
27900,0,"Hokianga North","Far North District","Northland"
28000,0,"Hokianga North","Far North District","Northland"
28100,0,"Hokianga North","Far North District","Northland"
28202,0,"Hokianga North","Far North District","Northland"
28600,0,"Hokianga North","Far North District","Northland"
28800,0,"Hokianga North","Far North District","Northland"
28900,0,"Hokianga North","Far North District","Northland"
29000,0,"Hokianga North","Far North District","Northland"
29101,0,"Hokianga North","Far North District","Northland"
29200,0,"Hokianga North","Far North District","Northland"
29500,0,"Hokianga North","Far North District","Northland"
29600,0,"Hokianga North","Far North District","Northland"
29800,0,"Hokianga North","Far North District","Northland"
30400,0,"Hokianga North","Far North District","Northland"
30600,0,"Hokianga North","Far North District","Northland"
30700,0,"Hokianga North","Far North District","Northland"
31100,0,"Hokianga North","Far North District","Northland"
31200,0,"Hokianga North","Far North District","Northland"
31500,0,"Kohukohu","Far North District","Northland"
32100,0,"Waihou Valley-Hupara","Far North District","Northland"
32300,0,"Okaihau","Far North District","Northland"
32501,3,"Okaihau","Far North District","Northland"
32600,0,"Okaihau","Far North District","Northland"
33000,1,"Okaihau","Far North District","Northland"
33100,0,"Okaihau","Far North District","Northland"
33400,0,"Waihou Valley-Hupara","Far North District","Northland"
33600,0,"Waihou Valley-Hupara","Far North District","Northland"
33800,0,"Waihou Valley-Hupara","Far North District","Northland"
33900,0,"Waihou Valley-Hupara","Far North District","Northland"
34000,0,"Waihou Valley-Hupara","Far North District","Northland"
34101,0,"Waihou Valley-Hupara","Far North District","Northland"
34201,1,"Waihou Valley-Hupara","Far North District","Northland"
34202,0,"Waihou Valley-Hupara","Far North District","Northland"
34301,0,"Waihou Valley-Hupara","Far North District","Northland"
34302,0,"Waihou Valley-Hupara","Far North District","Northland"
34500,0,"Waihou Valley-Hupara","Far North District","Northland"
34700,0,"Ohaeawai","Far North District","Northland"
34800,0,"Ohaeawai","Far North District","Northland"
35000,0,"Ohaeawai","Far North District","Northland"
35200,0,"Ohaeawai","Far North District","Northland"
35300,0,"Ohaeawai","Far North District","Northland"
35402,0,"Ohaeawai","Far North District","Northland"
35501,0,"Ngapuhi-Kaikou","Far North District","Northland"
35600,0,"Ngapuhi-Kaikou","Far North District","Northland"
35700,0,"Waihou Valley-Hupara","Far North District","Northland"
35800,0,"Waihou Valley-Hupara","Far North District","Northland"
35900,0,"Waihou Valley-Hupara","Far North District","Northland"
36202,0,"Moerewa","Far North District","Northland"
36302,0,"Ngapuhi-Kaikou","Far North District","Northland"
36700,0,"Ohaeawai","Far North District","Northland"
36902,0,"Ohaeawai","Far North District","Northland"
37000,0,"Ngapuhi-Kaikou","Far North District","Northland"
37203,0,"Ngapuhi-Kaikou","Far North District","Northland"
37401,0,"Ngapuhi-Kaikou","Far North District","Northland"
37402,2,"Ngapuhi-Kaikou","Far North District","Northland"
37501,0,"Kaikohe","Far North District","Northland"
37502,0,"Ngapuhi-Kaikou","Far North District","Northland"
37600,0,"Ngapuhi-Kaikou","Far North District","Northland"
37701,0,"Ngapuhi-Kaikou","Far North District","Northland"
37802,0,"Kaikohe","Far North District","Northland"
37805,0,"Ngapuhi-Kaikou","Far North District","Northland"
38001,0,"Ngapuhi-Kaikou","Far North District","Northland"
38200,0,"Ngapuhi-Kaikou","Far North District","Northland"
38400,0,"Ngapuhi-Kaikou","Far North District","Northland"
38500,1,"Ngapuhi-Kaikou","Far North District","Northland"
38600,0,"Ngapuhi-Kaikou","Far North District","Northland"
38900,0,"Ngapuhi-Kaikou","Far North District","Northland"
39000,0,"Ngapuhi-Kaikou","Far North District","Northland"
39300,0,"Ngapuhi-Kaikou","Far North District","Northland"
39600,0,"Ngapuhi-Kaikou","Far North District","Northland"
39900,0,"Ngapuhi-Kaikou","Far North District","Northland"
40100,0,"Ngapuhi-Kaikou","Far North District","Northland"
40200,0,"Ngapuhi-Kaikou","Far North District","Northland"
40400,0,"Ngapuhi-Kaikou","Far North District","Northland"
40501,0,"Ngapuhi-Kaikou","Far North District","Northland"
40601,0,"Ngapuhi-Kaikou","Far North District","Northland"
40701,0,"Kaikohe","Far North District","Northland"
40702,0,"Kaikohe","Far North District","Northland"
40703,0,"Kaikohe","Far North District","Northland"
40801,1,"Kaikohe","Far North District","Northland"
40802,0,"Kaikohe","Far North District","Northland"
40900,1,"Kaikohe","Far North District","Northland"
41000,0,"Kaikohe","Far North District","Northland"
41100,0,"Kaikohe","Far North District","Northland"
41200,2,"Kaikohe","Far North District","Northland"
41300,1,"Kaikohe","Far North District","Northland"
41402,1,"Kaikohe","Far North District","Northland"
41403,0,"Kaikohe","Far North District","Northland"
41500,0,"Kaikohe","Far North District","Northland"
41600,0,"Kaikohe","Far North District","Northland"
41700,0,"Kaikohe","Far North District","Northland"
41800,2,"Kaikohe","Far North District","Northland"
41900,0,"Kaikohe","Far North District","Northland"
42001,0,"Kaikohe","Far North District","Northland"
42002,0,"Kaikohe","Far North District","Northland"
42101,0,"Kaikohe","Far North District","Northland"
42102,1,"Kaikohe","Far North District","Northland"
42103,2,"Kaikohe","Far North District","Northland"
42201,0,"Kaikohe","Far North District","Northland"
42202,0,"Kaikohe","Far North District","Northland"
42300,2,"Kaikohe","Far North District","Northland"
42400,0,"Kaikohe","Far North District","Northland"
42500,1,"Kaikohe","Far North District","Northland"
42600,0,"Kaikohe","Far North District","Northland"
42700,0,"Kaikohe","Far North District","Northland"
42800,0,"Kaikohe","Far North District","Northland"
42900,0,"Kaikohe","Far North District","Northland"
43000,0,"Kaikohe","Far North District","Northland"
43100,0,"Kaikohe","Far North District","Northland"
43200,2,"Kaikohe","Far North District","Northland"
43300,0,"Kaikohe","Far North District","Northland"
43400,0,"Kaikohe","Far North District","Northland"
43500,0,"Kaikohe","Far North District","Northland"
43600,0,"Kaikohe","Far North District","Northland"
43700,0,"Kaikohe","Far North District","Northland"
43904,0,"Kapiro","Far North District","Northland"
43905,0,"Kapiro","Far North District","Northland"
43906,0,"Kapiro","Far North District","Northland"
44003,1,"Kapiro","Far North District","Northland"
44006,0,"Mangapa-Matauri Bay","Far North District","Northland"
44007,0,"Kapiro","Far North District","Northland"
44102,0,"Kapiro","Far North District","Northland"
44403,0,"Kapiro","Far North District","Northland"
44404,0,"Kapiro","Far North District","Northland"
44406,0,"Kapiro","Far North District","Northland"
44501,0,"Kapiro","Far North District","Northland"
44504,0,"Kerikeri","Far North District","Northland"
44505,1,"Kerikeri","Far North District","Northland"
44506,0,"Kerikeri","Far North District","Northland"
44602,0,"Kerikeri","Far North District","Northland"
44603,0,"Kerikeri","Far North District","Northland"
44604,0,"Kerikeri","Far North District","Northland"
44605,0,"Kerikeri","Far North District","Northland"
44607,0,"Kerikeri","Far North District","Northland"
44608,0,"Kerikeri","Far North District","Northland"
44609,0,"Kerikeri","Far North District","Northland"
44611,0,"Kerikeri","Far North District","Northland"
44701,0,"Waihou Valley-Hupara","Far North District","Northland"
