"Month","Total","BusTotal","BusRapid","BusOther","Train","Ferry"
"Jan",4239.8,3246.7,130.6,3116.1,527,466.1
"Feb",5937.7,4624.1,181.2,4442.9,861.1,452.6
"Mar",7090,5582.2,238,5344.2,1047.3,460.5
"Apr",5531,4153.7,173.3,3980.4,947.6,429.7
"May",6791,5443.5,221.7,5221.8,957.3,390.2
"Jun",5589.7,4427,173.5,4253.5,834.3,328.5
"Jul",5793.3,4515.1,192.8,4322.3,912.5,365.7
"Aug",6535.9,5179.3,222.4,4956.9,987.5,369
"Sep",5709.9,4551.6,185,4366.6,822.9,335.5
"Oct",5820.7,4553.4,197.2,4356.2,873.1,394.3
"Nov",5697.3,4547.5,185.9,4361.6,745.5,404.3
"Dec",4357.2,3399.5,137.8,3261.7,540.5,417.2
