"Month","Total","BusTotal","BusRapid","BusOther","Train","Ferry"
"Jan",3430.5,2571.1,42,2529.1,418.4,441.1
"Feb",4294.8,3410.3,49.6,3360.7,447.4,437.2
"Mar",5389.8,4397.2,73.9,4323.3,555.4,437.2
"Apr",3914.7,3114.3,51,3063.3,422.5,377.9
"May",5134.6,4208.6,70.5,4138.1,567.8,358.1
"Jun",4144.5,3376.4,48.9,3327.5,471.1,297
"Jul",4374.1,3521.5,62.8,3458.7,536,316.6
"Aug",5113.1,4186.9,68.8,4118.1,596.5,329.7
"Sep",4336.6,3491.8,58.2,3433.6,524.3,320.5
"Oct",4761.7,3851.4,70.1,3781.3,572,338.4
"Nov",4573.3,3658.9,60.2,3598.7,554.2,360.3
"Dec",3603.4,2770.5,46.9,2723.6,418.8,414.1
