"Month","Total","BusTotal","BusRapid","BusOther","Train","Ferry"
"Jan",4646.9,3556.9,146.7,3410.2,588.6,501.4
"Feb",6074.9,4605.3,196.5,4408.8,1005.4,464.2
"Mar",7305.9,5637.2,262.4,5374.8,1174.6,494.1
"Apr",6064,4669.6,214.2,4455.4,978.8,415.5
"May",7096.3,5495.7,249.9,5245.8,1193.7,406.9
"Jun",6108,4735.8,210.1,4525.7,1039.8,332.4
"Jul",6268.8,4812.6,233.8,4578.8,1089.8,366.3
"Aug",6934.9,5373,253.3,5119.7,1181.1,380.8
"Sep",6612.7,5122,234.3,4887.7,1119.2,371.4
"Oct",6824.2,5227,246.5,4980.5,1165.1,432.1
"Nov",6427.5,4837.6,226.2,4611.4,1111.9,478
"Dec",5435.5,4042.9,190.7,3852.2,867.7,524.8
