"Month","Total","BusTotal","BusRapid","BusOther","Train","Ferry"
"Jan",3873,2938.8,103.5,2835.3,473.3,460.9
"Feb",5031.4,3899.1,131.5,3767.6,710.7,421.6
"Mar",6561.2,5209.9,210.7,4999.2,917.7,433.6
"Apr",5112.7,3978.8,157.1,3821.7,728.8,405.2
"May",5743,4580.7,186.5,4394.2,810.9,351.4
"Jun",5153.2,4144.8,154.3,3990.5,708.5,299.9
"Jul",5228.6,4081.4,162.5,3918.9,799.6,347.7
"Aug",5847.2,4684.4,186.9,4497.5,842.4,320.4
"Sep",5589.2,4366.1,172.7,4193.4,893.1,330.1
"Oct",5446.5,4275.4,171.3,4104.1,780.3,390.9
"Nov",5582.2,4311.9,162.6,4149.3,869.6,400.8
"Dec",4382.6,3378.2,128.5,3249.7,571.7,432.6
