"Month","Total","BusTotal","BusRapid","BusOther","Train","Ferry"
"Jan",3720.3,2851.5,91.7,2759.8,410.8,457.9
"Feb",4763,3733.8,111.1,3622.7,612,417.2
"Mar",6145.8,4895.1,175.7,4719.4,802.6,448.1
"Apr",4799,3780.7,134.8,3645.9,641.1,377.2
"May",5423.1,4366.5,151.1,4215.4,719.5,337
"Jun",4839.9,3883.9,125.8,3758.1,651.2,304.8
"Jul",5043.9,3981.1,134,3847.1,724.2,338.6
"Aug",5422.5,4378.2,155,4223.2,718.9,325.5
"Sep",5197.8,4157.4,143.6,4013.8,702.2,338.2
"Oct",4512.3,3380.7,169.2,3211.5,766.6,365
"Nov",4845.7,3780.6,138.1,3642.5,702.2,362.9
"Dec",4126,3185.4,108,3077.4,515.1,425.5
