"Month","Total","BusTotal","BusRapid","BusOther","Train","Ferry"
"Jan",3909.5,2986.1,116.4,2869.7,462.6,460.8
"Feb",5510.2,4201.5,158.6,4042.9,838,470.7
"Mar",7062.3,5471.8,233.2,5238.6,1117.8,472.8
"Apr",5308.6,4080.2,172.2,3908,821.4,407
"May",6328.7,4968.8,214.4,4754.4,985.5,374.4
"Jun",5568,4357.6,177.5,4180.1,882.8,327.7
"Jul",5372.6,4173.8,184.7,3989.1,838.2,360.6
"Aug",6590.1,5167.3,223.6,4943.7,1033.2,389.6
"Sep",6642.2,5035.8,210.8,4825,1178.6,427.8
"Oct",6358.6,4636.4,225.8,4410.6,1212,510.2
"Nov",5987.3,4689.4,180,4509.4,887.6,410.3
"Dec",4650.9,3647.3,136.7,3510.6,580.1,423.5
