"Month","Total","BusTotal","BusRapid","BusOther","Train","Ferry"
"Jan",4428.3,3392.9,137.1,3255.8,538.5,497
"Feb",5581,4303.3,170.6,4132.7,789.1,488.6
"Mar",6731.9,5237,231.1,5005.9,1003,492
"Apr",5825.8,4460.2,202.6,4257.6,929.4,436.2
"May",6559.8,5098.6,229.2,4869.4,1051.5,409.7
"Jun",5484.7,4291.7,186.9,4104.8,845.3,347.7
"Jul",5925.1,4550.5,200.4,4350.1,972.3,402.3
"Aug",6500.5,5116.4,214.2,4902.2,1004.6,379.5
"Sep",5830,4564.9,193.6,4371.3,925,340
"Oct",6275.4,4861,206.3,4654.7,964.4,450.1
"Nov",5874.3,4518.7,182.8,4335.9,918.7,436.9
"Dec",4695.4,3539.6,149.7,3389.9,669.2,486.6
