"Month","Total","BusTotal","BusRapid","BusOther","Train","Ferry"
"Jul",4083.4,3433.7,NA,NA,365.8,284
"Aug",4912.3,4226.7,NA,NA,427,258.7
"Sep",4380.3,3752.7,NA,NA,397.4,230.1
"Oct",4301.2,3617.7,NA,NA,363.1,320.3
"Nov",4395.4,3633.2,14.2,3619,418,344.2
"Dec",3295,2641.4,18.7,2622.7,315.8,337.9
