"Month","Total","BusTotal","BusRapid","BusOther","Train","Ferry"
"Jan",3589.7,2710.3,51,2659.3,451.3,428.1
"Feb",4577.6,3584.1,82.4,3501.7,570.4,423.2
"Mar",5149.2,4075,115.1,3959.9,633.7,440.6
"Apr",4875.7,3866.8,117.9,3748.9,642.9,366
"May",5296.3,4265.8,125.4,4140.4,683.8,346.6
"Jun",4626.1,3720.6,104.2,3616.4,610,295.5
"Jul",4748.4,3741.2,118.7,3622.5,705.6,301.6
"Aug",5258.7,4239.7,130.8,4108.9,709.9,309
"Sep",5011.6,4035.2,119.7,3915.5,662.4,314
"Oct",5173.5,4156,136.1,4019.9,672,345.6
"Nov",4797.4,3826.4,110.8,3715.6,608.3,362.7
"Dec",4039.9,3185.6,93.4,3092.2,454.8,399.6
